Customer ID,Comfort,Fit & Sizing,Preferred Pieces,Design & Style,Material Quality,Color & Patterns,Additional Aspects,Fashion Type
9330,3,3,Leggings,Stylish,Good,Pink,Dissatisfied,Athleisure
2423,5,5,Formal Shirt,Elegant,Excellent,Red,Dissatisfied,Formal
2107,4,5,Tuxedo,Elegant,Excellent,Green,Dissatisfied,Formal
9212,3,3,Yoga Pants,Bold Graphics,Good,Gray,Dissatisfied,Athleisure
1038,3,2,Track Pants,Artistic,Average,Pink,Dissatisfied,Casual
5176,3,4,Embroidered Skirt,Artistic,Excellent,Floral,Dissatisfied,Bohemian
1310,3,1,Suit,Simple,Good,Green,Dissatisfied,Casual
9688,3,1,Yoga Pants,Stylish,Average,Black,Dissatisfied,Athleisure
6947,3,4,Joggers,Stylish,Excellent,Green,Satisfied,Streetwear
4368,4,3,Boho Blouse,Artistic,Excellent,Red,Satisfied,Bohemian
3720,4,4,Suit,Elegant,Excellent,Gray,Satisfied,Formal
5313,3,2,Embroidered Skirt,Artistic,Good,Brown,Dissatisfied,Bohemian
5243,5,2,Maxi Dress,Artistic,Excellent,Black,Satisfied,Bohemian
7910,2,4,Hoodie,Bold Graphics,Excellent,Brown,Satisfied,Streetwear
4022,5,3,Maxi Dress,Artistic,Excellent,Beige,Dissatisfied,Bohemian
9061,3,3,Leggings,Stylish,Average,Blue,Satisfied,Athleisure
9196,5,2,Sweat-wicking Tee,Bold Graphics,Average,Purple,Dissatisfied,Athleisure
153,3,2,Maxi Dress,Simple,Good,Blue,Satisfied,Casual
558,5,2,Sweat-wicking Tee,Artistic,Average,Gray,Satisfied,Casual
5937,5,2,Boho Blouse,Artistic,Excellent,Brown,Satisfied,Bohemian
9796,4,2,Yoga Pants,Bold Graphics,Good,Blue,Satisfied,Athleisure
596,5,3,Leggings,Simple,Average,Yellow,Dissatisfied,Casual
1807,3,1,Tuxedo,Simple,Good,Blue,Dissatisfied,Casual
4717,5,3,Embroidered Skirt,Artistic,Good,Red,Dissatisfied,Bohemian
2612,4,5,Suit,Elegant,Excellent,Beige,Dissatisfied,Formal
9947,3,3,Yoga Pants,Bold Graphics,Average,Yellow,Dissatisfied,Athleisure
4300,4,4,Embroidered Skirt,Artistic,Excellent,Red,Satisfied,Bohemian
3810,4,4,Formal Shirt,Elegant,Excellent,White,Satisfied,Formal
5075,5,4,Boho Blouse,Artistic,Excellent,Purple,Satisfied,Bohemian
6347,2,4,Joggers,Bold Graphics,Good,Purple,Satisfied,Streetwear
7339,2,3,Snapback,Stylish,Excellent,Floral,Satisfied,Streetwear
3110,5,4,Suit,Elegant,Excellent,Beige,Satisfied,Formal
6092,4,4,Joggers,Stylish,Excellent,Green,Dissatisfied,Streetwear
6773,2,4,Joggers,Stylish,Good,Brown,Dissatisfied,Streetwear
7013,2,4,Snapback,Stylish,Good,Floral,Satisfied,Streetwear
3719,5,5,Suit,Elegant,Excellent,Beige,Dissatisfied,Formal
1112,4,1,Button-up Shirt,Artistic,Good,Pink,Dissatisfied,Casual
5863,4,2,Boho Blouse,Artistic,Good,Brown,Satisfied,Bohemian
2730,4,4,Tuxedo,Elegant,Excellent,White,Satisfied,Formal
7308,5,4,Hoodie,Bold Graphics,Good,Green,Dissatisfied,Streetwear
762,3,2,Gym Shorts,Artistic,Average,Pink,Dissatisfied,Casual
1496,4,2,Shorts,Simple,Good,Green,Satisfied,Casual
329,4,3,Blazer,Artistic,Average,Blue,Dissatisfied,Casual
7135,5,4,Joggers,Bold Graphics,Good,Beige,Dissatisfied,Streetwear
7514,4,4,Joggers,Bold Graphics,Good,Beige,Satisfied,Streetwear
5126,4,4,Boho Blouse,Artistic,Excellent,Yellow,Satisfied,Bohemian
8512,5,2,Leggings,Stylish,Good,Pink,Dissatisfied,Athleisure
7325,3,4,Snapback,Stylish,Good,Brown,Dissatisfied,Streetwear
3485,4,4,Tuxedo,Elegant,Excellent,Red,Dissatisfied,Formal
5353,3,4,Boho Blouse,Artistic,Excellent,Pink,Satisfied,Bohemian
1815,3,3,Sweatshirt,Simple,Good,Pink,Satisfied,Casual
4010,3,4,Embroidered Skirt,Artistic,Good,Green,Satisfied,Bohemian
5466,3,2,Boho Blouse,Artistic,Good,Black,Dissatisfied,Bohemian
6873,3,4,Snapback,Bold Graphics,Good,Navy,Satisfied,Streetwear
2274,4,5,Tuxedo,Elegant,Excellent,Yellow,Dissatisfied,Formal
3393,4,4,Suit,Elegant,Excellent,Green,Dissatisfied,Formal
4871,4,2,Boho Blouse,Artistic,Excellent,Purple,Satisfied,Bohemian
670,5,1,Flowy Skirt,Simple,Good,Floral,Dissatisfied,Casual
7911,3,3,Hoodie,Bold Graphics,Excellent,Floral,Dissatisfied,Streetwear
1852,3,3,Compression Leggings,Simple,Average,Green,Satisfied,Casual
2573,5,5,Formal Shirt,Elegant,Excellent,Floral,Dissatisfied,Formal
2037,5,5,Formal Shirt,Elegant,Excellent,Purple,Dissatisfied,Formal
2472,4,4,Formal Shirt,Elegant,Excellent,Blue,Satisfied,Formal
384,4,2,Embroidered Top,Artistic,Good,Gray,Dissatisfied,Casual
3713,5,5,Formal Shirt,Elegant,Excellent,Navy,Dissatisfied,Formal
2016,5,4,Tuxedo,Elegant,Excellent,Blue,Dissatisfied,Formal
5936,5,4,Boho Blouse,Artistic,Excellent,Purple,Dissatisfied,Bohemian
455,4,3,Suit,Artistic,Good,Green,Satisfied,Casual
4154,3,2,Maxi Dress,Artistic,Good,Red,Satisfied,Bohemian
2565,5,5,Tuxedo,Elegant,Excellent,Pink,Satisfied,Formal
299,4,1,Compression Leggings,Artistic,Good,Purple,Satisfied,Casual
780,5,2,Flowy Skirt,Simple,Average,Beige,Dissatisfied,Casual
9398,4,2,Leggings,Stylish,Average,Beige,Satisfied,Athleisure
1816,5,1,Flowy Skirt,Artistic,Good,Beige,Dissatisfied,Casual
9613,4,2,Yoga Pants,Stylish,Good,Floral,Satisfied,Athleisure
9590,4,2,Yoga Pants,Stylish,Average,Yellow,Dissatisfied,Athleisure
6234,5,4,Joggers,Stylish,Good,Yellow,Satisfied,Streetwear
7257,3,4,Snapback,Stylish,Excellent,Red,Dissatisfied,Streetwear
6386,2,3,Snapback,Stylish,Good,Black,Satisfied,Streetwear
7129,5,3,Snapback,Bold Graphics,Excellent,Yellow,Dissatisfied,Streetwear
8762,4,2,Yoga Pants,Stylish,Average,Gray,Satisfied,Athleisure
6810,2,3,Joggers,Stylish,Excellent,Gray,Dissatisfied,Streetwear
9458,3,2,Yoga Pants,Bold Graphics,Good,Purple,Dissatisfied,Athleisure
3000,4,5,Tuxedo,Elegant,Excellent,Brown,Satisfied,Formal
6346,4,4,Hoodie,Stylish,Good,Black,Dissatisfied,Streetwear
5882,3,4,Maxi Dress,Artistic,Good,Floral,Dissatisfied,Bohemian
3778,5,4,Suit,Elegant,Excellent,Green,Dissatisfied,Formal
5559,5,4,Boho Blouse,Artistic,Good,Purple,Dissatisfied,Bohemian
4350,5,3,Maxi Dress,Artistic,Good,Red,Dissatisfied,Bohemian
1217,5,3,Cargo Pants,Artistic,Good,Beige,Satisfied,Casual
5403,3,2,Boho Blouse,Artistic,Excellent,Green,Dissatisfied,Bohemian
2536,4,4,Tuxedo,Elegant,Excellent,White,Satisfied,Formal
4918,5,3,Maxi Dress,Artistic,Good,Beige,Dissatisfied,Bohemian
715,5,2,Henley Shirt,Artistic,Average,Floral,Dissatisfied,Casual
8411,3,2,Sweat-wicking Tee,Stylish,Average,Floral,Dissatisfied,Athleisure
7169,2,3,Joggers,Stylish,Excellent,Red,Satisfied,Streetwear
4785,4,3,Maxi Dress,Artistic,Good,Black,Satisfied,Bohemian
9215,3,3,Sweat-wicking Tee,Bold Graphics,Average,Floral,Dissatisfied,Athleisure
2306,4,4,Suit,Elegant,Excellent,Blue,Satisfied,Formal
2959,4,4,Tuxedo,Elegant,Excellent,Black,Satisfied,Formal
3222,4,5,Formal Shirt,Elegant,Excellent,Black,Dissatisfied,Formal
683,3,3,Maxi Skirt,Simple,Good,Brown,Satisfied,Casual
2267,4,5,Suit,Elegant,Excellent,Navy,Dissatisfied,Formal
9699,5,2,Yoga Pants,Stylish,Average,Red,Dissatisfied,Athleisure
145,5,2,Joggers,Simple,Average,Brown,Dissatisfied,Casual
1953,3,1,Track Jacket,Artistic,Good,Floral,Dissatisfied,Casual
4163,4,3,Boho Blouse,Artistic,Good,Pink,Dissatisfied,Bohemian
6651,5,4,Hoodie,Stylish,Good,Floral,Dissatisfied,Streetwear
7711,3,4,Joggers,Bold Graphics,Excellent,Brown,Dissatisfied,Streetwear
876,5,3,Jeans,Artistic,Average,Brown,Satisfied,Casual
937,3,2,Gown,Simple,Average,Floral,Dissatisfied,Casual
3113,4,4,Tuxedo,Elegant,Excellent,Beige,Satisfied,Formal
3206,4,5,Formal Shirt,Elegant,Excellent,Blue,Satisfied,Formal
7601,5,4,Hoodie,Bold Graphics,Excellent,Yellow,Satisfied,Streetwear
5234,3,2,Maxi Dress,Artistic,Excellent,Blue,Satisfied,Bohemian
2229,5,4,Tuxedo,Elegant,Excellent,Purple,Dissatisfied,Formal
666,3,3,Suit Dress,Artistic,Average,Pink,Satisfied,Casual
138,3,3,Maxi Skirt,Simple,Average,Navy,Dissatisfied,Casual
5223,3,3,Boho Blouse,Artistic,Excellent,Beige,Satisfied,Bohemian
1437,3,1,Sweatpants,Artistic,Average,Floral,Dissatisfied,Casual
6843,4,4,Joggers,Bold Graphics,Good,Brown,Dissatisfied,Streetwear
9164,3,2,Leggings,Stylish,Good,Blue,Dissatisfied,Athleisure
8446,5,3,Yoga Pants,Bold Graphics,Good,Gray,Satisfied,Athleisure
6894,5,3,Hoodie,Bold Graphics,Good,Yellow,Satisfied,Streetwear
6277,2,4,Hoodie,Stylish,Excellent,Purple,Satisfied,Streetwear
9256,4,1,Leggings,Stylish,Average,Red,Satisfied,Athleisure
1875,3,2,Maxi Skirt,Simple,Average,Floral,Satisfied,Casual
1397,4,3,Sweatpants,Simple,Good,White,Dissatisfied,Casual
5676,4,2,Embroidered Skirt,Artistic,Good,Brown,Dissatisfied,Bohemian
7866,3,4,Hoodie,Bold Graphics,Good,Yellow,Satisfied,Streetwear
7148,5,3,Snapback,Stylish,Good,Black,Satisfied,Streetwear
9242,4,3,Yoga Pants,Bold Graphics,Good,Floral,Dissatisfied,Athleisure
8359,4,1,Leggings,Bold Graphics,Average,Navy,Dissatisfied,Athleisure
9745,5,1,Sweat-wicking Tee,Bold Graphics,Good,Gray,Satisfied,Athleisure
7896,4,3,Hoodie,Stylish,Good,Purple,Dissatisfied,Streetwear
8677,3,3,Yoga Pants,Bold Graphics,Average,Pink,Satisfied,Athleisure
175,4,3,Sport Shorts,Simple,Good,Yellow,Dissatisfied,Casual
6794,2,3,Snapback,Bold Graphics,Good,Floral,Satisfied,Streetwear
6919,3,4,Snapback,Bold Graphics,Good,White,Satisfied,Streetwear
3244,5,4,Tuxedo,Elegant,Excellent,Purple,Dissatisfied,Formal
583,5,1,Maxi Dress,Artistic,Good,White,Dissatisfied,Casual
6673,5,4,Hoodie,Stylish,Good,Green,Satisfied,Streetwear
5379,5,4,Embroidered Skirt,Artistic,Excellent,Red,Satisfied,Bohemian
4324,4,2,Boho Blouse,Artistic,Good,Gray,Satisfied,Bohemian
1746,5,2,Track Jacket,Simple,Good,Beige,Satisfied,Casual
9660,4,3,Sweat-wicking Tee,Stylish,Average,Navy,Dissatisfied,Athleisure
9052,4,1,Sweat-wicking Tee,Bold Graphics,Good,Gray,Dissatisfied,Athleisure
3539,5,4,Formal Shirt,Elegant,Excellent,Green,Satisfied,Formal
3119,5,5,Suit,Elegant,Excellent,Red,Satisfied,Formal
8002,5,3,Leggings,Stylish,Good,White,Satisfied,Athleisure
9807,5,3,Leggings,Bold Graphics,Average,Green,Satisfied,Athleisure
4100,5,3,Embroidered Skirt,Artistic,Good,Black,Dissatisfied,Bohemian
3867,4,4,Suit,Elegant,Excellent,Navy,Dissatisfied,Formal
6408,2,4,Snapback,Bold Graphics,Good,Yellow,Dissatisfied,Streetwear
5907,4,3,Embroidered Skirt,Artistic,Excellent,Red,Dissatisfied,Bohemian
8812,5,3,Leggings,Stylish,Good,Gray,Satisfied,Athleisure
401,3,2,Sports Bra,Simple,Good,Gray,Dissatisfied,Casual
1730,5,1,Dress Shirt,Simple,Average,Brown,Satisfied,Casual
1511,4,1,Leggings,Artistic,Average,Brown,Satisfied,Casual
3096,5,4,Formal Shirt,Elegant,Excellent,Navy,Dissatisfied,Formal
7069,3,4,Snapback,Bold Graphics,Good,Brown,Satisfied,Streetwear
2041,5,4,Tuxedo,Elegant,Excellent,Blue,Satisfied,Formal
7241,3,3,Hoodie,Stylish,Excellent,Gray,Satisfied,Streetwear
8820,5,3,Yoga Pants,Stylish,Good,Beige,Dissatisfied,Athleisure
5664,4,2,Maxi Dress,Artistic,Excellent,Brown,Dissatisfied,Bohemian
505,3,1,Henley Shirt,Simple,Good,Blue,Satisfied,Casual
6345,2,3,Hoodie,Stylish,Good,Black,Satisfied,Streetwear
4421,5,3,Maxi Dress,Artistic,Good,Pink,Satisfied,Bohemian
9208,3,2,Yoga Pants,Stylish,Average,Purple,Dissatisfied,Athleisure
321,3,1,Cocktail Dress,Simple,Average,Beige,Satisfied,Casual
3692,5,5,Suit,Elegant,Excellent,Pink,Satisfied,Formal
674,5,3,Maxi Dress,Simple,Average,Beige,Dissatisfied,Casual
1524,3,1,Running Shoes,Simple,Average,Yellow,Satisfied,Casual
7815,4,4,Snapback,Bold Graphics,Good,White,Satisfied,Streetwear
2822,4,4,Formal Shirt,Elegant,Excellent,Gray,Dissatisfied,Formal
8845,3,3,Leggings,Stylish,Good,Gray,Satisfied,Athleisure
6217,2,4,Snapback,Bold Graphics,Good,Red,Satisfied,Streetwear
9692,3,3,Sweat-wicking Tee,Stylish,Average,Pink,Dissatisfied,Athleisure
3391,4,4,Tuxedo,Elegant,Excellent,Purple,Satisfied,Formal
8561,4,1,Leggings,Stylish,Average,Yellow,Dissatisfied,Athleisure
6708,4,4,Hoodie,Bold Graphics,Excellent,White,Dissatisfied,Streetwear
2841,4,4,Tuxedo,Elegant,Excellent,Black,Satisfied,Formal
7713,4,4,Joggers,Bold Graphics,Good,Navy,Satisfied,Streetwear
7334,4,3,Joggers,Bold Graphics,Good,White,Satisfied,Streetwear
7583,2,3,Snapback,Stylish,Good,Beige,Satisfied,Streetwear
851,4,2,Track Pants,Simple,Average,Pink,Dissatisfied,Casual
9815,5,3,Leggings,Bold Graphics,Average,Green,Dissatisfied,Athleisure
98,4,2,Hoodie,Artistic,Good,Floral,Dissatisfied,Casual
6499,4,4,Hoodie,Bold Graphics,Excellent,Floral,Dissatisfied,Streetwear
6116,3,4,Joggers,Stylish,Good,Pink,Dissatisfied,Streetwear
7657,5,4,Snapback,Bold Graphics,Excellent,Beige,Satisfied,Streetwear
1591,5,2,Henley Shirt,Simple,Good,Gray,Dissatisfied,Casual
2837,4,4,Suit,Elegant,Excellent,Floral,Dissatisfied,Formal
1629,5,2,Tunic,Artistic,Average,Purple,Dissatisfied,Casual
2045,5,5,Suit,Elegant,Excellent,Green,Dissatisfied,Formal
6325,2,4,Snapback,Stylish,Good,Red,Satisfied,Streetwear
5317,5,2,Boho Blouse,Artistic,Good,Black,Dissatisfied,Bohemian
8261,3,2,Sweat-wicking Tee,Bold Graphics,Good,Green,Satisfied,Athleisure
3259,4,5,Tuxedo,Elegant,Excellent,Navy,Dissatisfied,Formal
8495,3,3,Yoga Pants,Bold Graphics,Average,Pink,Satisfied,Athleisure
6407,5,3,Hoodie,Stylish,Excellent,Brown,Dissatisfied,Streetwear
5348,5,3,Embroidered Skirt,Artistic,Excellent,Green,Dissatisfied,Bohemian
883,5,3,Blazer,Artistic,Good,Gray,Satisfied,Casual
8252,5,3,Yoga Pants,Stylish,Average,Navy,Dissatisfied,Athleisure
3844,4,4,Tuxedo,Elegant,Excellent,Blue,Satisfied,Formal
6928,2,4,Snapback,Bold Graphics,Good,Pink,Satisfied,Streetwear
4923,5,3,Boho Blouse,Artistic,Good,Pink,Dissatisfied,Bohemian
2450,5,4,Tuxedo,Elegant,Excellent,Purple,Satisfied,Formal
4088,4,3,Maxi Dress,Artistic,Excellent,Navy,Dissatisfied,Bohemian
8262,3,1,Yoga Pants,Bold Graphics,Good,White,Satisfied,Athleisure
7330,2,4,Hoodie,Stylish,Excellent,Yellow,Satisfied,Streetwear
7052,2,3,Joggers,Bold Graphics,Excellent,Gray,Satisfied,Streetwear
2943,4,5,Suit,Elegant,Excellent,Purple,Satisfied,Formal
568,5,2,Button-up Shirt,Simple,Average,Yellow,Satisfied,Casual
7984,3,4,Snapback,Bold Graphics,Good,Purple,Satisfied,Streetwear
1932,4,2,Running Shoes,Simple,Good,Gray,Dissatisfied,Casual
9462,5,3,Yoga Pants,Bold Graphics,Good,Purple,Dissatisfied,Athleisure
7992,3,3,Snapback,Bold Graphics,Good,Beige,Satisfied,Streetwear
9719,5,1,Leggings,Stylish,Average,Brown,Dissatisfied,Athleisure
694,3,3,Blazer,Simple,Average,Beige,Satisfied,Casual
7347,3,3,Hoodie,Bold Graphics,Excellent,Blue,Dissatisfied,Streetwear
7291,2,4,Hoodie,Bold Graphics,Excellent,Red,Dissatisfied,Streetwear
9034,3,2,Sweat-wicking Tee,Bold Graphics,Average,White,Satisfied,Athleisure
5087,3,4,Maxi Dress,Artistic,Good,Brown,Dissatisfied,Bohemian
6757,5,4,Joggers,Stylish,Excellent,Red,Satisfied,Streetwear
5390,5,4,Embroidered Skirt,Artistic,Good,Floral,Dissatisfied,Bohemian
8740,3,1,Sweat-wicking Tee,Stylish,Good,Black,Satisfied,Athleisure
2533,5,5,Formal Shirt,Elegant,Excellent,Red,Satisfied,Formal
2366,5,4,Suit,Elegant,Excellent,Red,Satisfied,Formal
38,4,1,Tunic,Simple,Good,Brown,Dissatisfied,Casual
658,5,3,Sweatpants,Artistic,Good,Navy,Satisfied,Casual
2277,5,5,Suit,Elegant,Excellent,Blue,Dissatisfied,Formal
3897,5,5,Tuxedo,Elegant,Excellent,Beige,Satisfied,Formal
1324,4,2,Boho Skirt,Artistic,Good,Floral,Dissatisfied,Casual
2473,5,4,Formal Shirt,Elegant,Excellent,Brown,Dissatisfied,Formal
7413,3,3,Snapback,Bold Graphics,Excellent,Navy,Satisfied,Streetwear
4617,4,4,Embroidered Skirt,Artistic,Excellent,Brown,Dissatisfied,Bohemian
117,3,3,Track Jacket,Simple,Good,Green,Satisfied,Casual
1169,3,2,Embroidered Top,Artistic,Average,Green,Satisfied,Casual
6262,3,4,Snapback,Stylish,Good,Brown,Satisfied,Streetwear
5355,5,3,Embroidered Skirt,Artistic,Good,Red,Satisfied,Bohemian
976,4,3,Tank Top,Simple,Good,Gray,Satisfied,Casual
5306,5,2,Embroidered Skirt,Artistic,Excellent,Blue,Satisfied,Bohemian
217,4,3,Baseball Cap,Simple,Good,Brown,Dissatisfied,Casual
8260,4,1,Sweat-wicking Tee,Bold Graphics,Average,Blue,Satisfied,Athleisure
1044,3,3,Crochet Top,Simple,Average,Brown,Satisfied,Casual
5919,5,4,Boho Blouse,Artistic,Excellent,White,Satisfied,Bohemian
5646,4,3,Boho Blouse,Artistic,Excellent,Brown,Satisfied,Bohemian
9365,4,2,Sweat-wicking Tee,Bold Graphics,Good,Yellow,Dissatisfied,Athleisure
5202,3,2,Embroidered Skirt,Artistic,Excellent,Beige,Satisfied,Bohemian
8232,4,3,Sweat-wicking Tee,Bold Graphics,Good,Black,Dissatisfied,Athleisure
4856,5,2,Embroidered Skirt,Artistic,Good,Green,Satisfied,Bohemian
2328,5,5,Tuxedo,Elegant,Excellent,Floral,Satisfied,Formal
4271,3,2,Maxi Dress,Artistic,Excellent,Beige,Satisfied,Bohemian
8453,5,2,Sweat-wicking Tee,Stylish,Average,Floral,Satisfied,Athleisure
6743,2,3,Snapback,Bold Graphics,Good,Black,Dissatisfied,Streetwear
2503,4,4,Formal Shirt,Elegant,Excellent,Blue,Satisfied,Formal
9470,3,2,Yoga Pants,Stylish,Good,Black,Dissatisfied,Athleisure
1451,5,1,Embroidered Top,Simple,Good,White,Satisfied,Casual
5377,5,2,Boho Blouse,Artistic,Good,Black,Dissatisfied,Bohemian
1853,4,3,Cocktail Dress,Simple,Average,Yellow,Dissatisfied,Casual
1012,4,3,Tuxedo,Artistic,Average,Blue,Dissatisfied,Casual
8612,3,1,Yoga Pants,Bold Graphics,Average,Brown,Dissatisfied,Athleisure
5197,3,4,Maxi Dress,Artistic,Good,Beige,Satisfied,Bohemian
63,3,3,Crochet Top,Artistic,Average,Brown,Dissatisfied,Casual
8597,5,2,Sweat-wicking Tee,Bold Graphics,Good,Red,Dissatisfied,Athleisure
4738,3,2,Embroidered Skirt,Artistic,Good,Floral,Dissatisfied,Bohemian
7658,5,3,Joggers,Bold Graphics,Good,Blue,Satisfied,Streetwear
8661,3,2,Yoga Pants,Bold Graphics,Good,White,Satisfied,Athleisure
4868,5,3,Boho Blouse,Artistic,Excellent,Purple,Dissatisfied,Bohemian
8671,5,2,Leggings,Bold Graphics,Average,Pink,Dissatisfied,Athleisure
7868,2,3,Hoodie,Stylish,Good,Red,Satisfied,Streetwear
7476,5,3,Snapback,Stylish,Excellent,Blue,Satisfied,Streetwear
5655,4,2,Boho Blouse,Artistic,Good,Yellow,Satisfied,Bohemian
288,5,2,Flowy Skirt,Artistic,Good,Green,Dissatisfied,Casual
8161,5,1,Yoga Pants,Bold Graphics,Good,Floral,Satisfied,Athleisure
7578,2,3,Hoodie,Bold Graphics,Good,Black,Satisfied,Streetwear
164,5,2,Sweat-wicking Tee,Artistic,Average,Pink,Dissatisfied,Casual
1553,3,1,Jeans,Artistic,Good,Beige,Satisfied,Casual
3043,4,5,Tuxedo,Elegant,Excellent,Navy,Dissatisfied,Formal
1692,4,2,Baseball Cap,Simple,Average,Brown,Satisfied,Casual
23,5,3,Snapback,Simple,Average,Blue,Satisfied,Casual
1421,5,3,Tank Top,Artistic,Good,Brown,Dissatisfied,Casual
2789,5,4,Formal Shirt,Elegant,Excellent,Beige,Dissatisfied,Formal
5770,3,4,Embroidered Skirt,Artistic,Excellent,Floral,Dissatisfied,Bohemian
9975,4,2,Leggings,Bold Graphics,Good,Blue,Satisfied,Athleisure
5706,5,3,Boho Blouse,Artistic,Excellent,Gray,Dissatisfied,Bohemian
8514,5,3,Yoga Pants,Bold Graphics,Good,White,Satisfied,Athleisure
7615,3,4,Joggers,Stylish,Excellent,Purple,Satisfied,Streetwear
9370,5,2,Leggings,Stylish,Average,Green,Satisfied,Athleisure
3074,5,4,Tuxedo,Elegant,Excellent,Beige,Satisfied,Formal
3505,4,4,Suit,Elegant,Excellent,Purple,Dissatisfied,Formal
4920,5,3,Boho Blouse,Artistic,Good,Navy,Dissatisfied,Bohemian
3900,5,4,Tuxedo,Elegant,Excellent,Pink,Dissatisfied,Formal
6558,5,3,Joggers,Bold Graphics,Good,White,Satisfied,Streetwear
7405,3,4,Snapback,Bold Graphics,Good,White,Dissatisfied,Streetwear
3477,4,4,Tuxedo,Elegant,Excellent,Black,Dissatisfied,Formal
3638,4,4,Suit,Elegant,Excellent,Beige,Dissatisfied,Formal
32,5,3,Cocktail Dress,Simple,Average,Floral,Satisfied,Casual
3504,4,5,Suit,Elegant,Excellent,White,Dissatisfied,Formal
3285,4,5,Formal Shirt,Elegant,Excellent,Pink,Satisfied,Formal
9016,4,2,Sweat-wicking Tee,Stylish,Good,Brown,Satisfied,Athleisure
5596,3,2,Embroidered Skirt,Artistic,Good,Green,Satisfied,Bohemian
7790,2,3,Hoodie,Bold Graphics,Good,Floral,Dissatisfied,Streetwear
766,3,1,Yoga Pants,Artistic,Good,White,Satisfied,Casual
8737,3,2,Sweat-wicking Tee,Bold Graphics,Average,Gray,Satisfied,Athleisure
7864,5,4,Hoodie,Stylish,Excellent,Yellow,Satisfied,Streetwear
3876,5,5,Suit,Elegant,Excellent,Green,Dissatisfied,Formal
7320,2,4,Joggers,Bold Graphics,Good,White,Satisfied,Streetwear
3344,4,5,Formal Shirt,Elegant,Excellent,Green,Dissatisfied,Formal
7526,3,3,Joggers,Bold Graphics,Good,Black,Satisfied,Streetwear
324,3,1,Fringe Dress,Artistic,Good,White,Satisfied,Casual
5720,5,4,Embroidered Skirt,Artistic,Good,Black,Satisfied,Bohemian
8929,3,1,Sweat-wicking Tee,Stylish,Average,White,Dissatisfied,Athleisure
2517,5,5,Suit,Elegant,Excellent,Navy,Satisfied,Formal
6962,5,4,Snapback,Stylish,Excellent,Blue,Satisfied,Streetwear
1754,5,3,Sport Shorts,Simple,Average,Yellow,Satisfied,Casual
373,4,1,Suit,Simple,Average,Blue,Dissatisfied,Casual
8986,3,2,Yoga Pants,Bold Graphics,Average,Brown,Dissatisfied,Athleisure
2064,5,5,Tuxedo,Elegant,Excellent,Navy,Dissatisfied,Formal
6378,2,4,Snapback,Stylish,Good,Gray,Dissatisfied,Streetwear
9882,4,3,Yoga Pants,Bold Graphics,Average,White,Dissatisfied,Athleisure
2280,5,4,Suit,Elegant,Excellent,Black,Dissatisfied,Formal
